Title: AC Diamonds
Description: This small collection starts with easy puzles (first eleven) continues with more
             challenging ones in the second half with those try to avoid
Author: Andrej Cerjak
Email: ACSokoban@Yandex.com
#   * * *   #
#  * * * *  #
# * * * * * #
#* * *#* * *#
# * * * * * #
#  * * * *  #
##  * * *  ##
 ##  * *  ##
  ##  $  ##
   ###+###
#############
Title: AC_Diamonds_15

#############
##    *   ###
#    * *  ###
#   * * *  ##
#  * * * *  #
# * * * * * #
#* * *#* * *#
# * * * * * #
#  * * * *  #
##  * * *  ##
 ##  * *  ##
  ##  $  ##
   ###+###
 ###########
Title: AC_Diamonds_16

      ###
     #   #
    #  *  #
   #  * *  #
  #  * * *  #
 #  * *$* *  #
#  * * # * *  #
# * *.* *.* *@#
#  * * # * *  #
 #  * *$* *  #
  #  * * *  #
   #  * *  #
    #  *  #
     #   #
      ###
Title: AC_Diamonds_17

      ###
     #   #
    #  *  #
   #  *.*  #
  #  * * *  #
 #  *$* *$*  #
#  * *   * *  #
# *.*     *.*@#
#  * *   * *  #
 #  *$* *$*  #
  #  * * *  #
   #  *.*  #
    #  *  #
     #   #
      ###
Title: AC_Diamonds_18

        ###
       #   #
      #  *  #
     #  *.*  #
    #  * * *  #
   #  * * * *  #
  #  *$*   *$*  #
 #  * *     * *  #
#  * *   #   * *  #
# *.*   ###   *.*@#
#  * *   #   * *  #
 #  * *     * *  #
  #  *$*   *$*  #
   #  * * * *  #
    #  * * *  #
     #  *.*  #
      #  *  #
       #   #
        ###
Title: AC_Diamonds_19

        ###
       #   #
      #  *  #
     #  *.*  #
    #  * * *  #
   #  * * * *  #
  #  *$*   *$*  #
 #  * *  $  * *  #
#  * *   .   * *  #
# *.*  $.*.$  *.*@#
#  * *   .   * *  #
 #  * *  $  * *  #
  #  *$*   *$*  #
   #  * * * *  #
    #  * * *  #
     #  *.*  #
      #  *  #
       #   #
        ###
Title: AC_Diamonds_20

        ###
       #   #
      #  *  #
     #  *.*  #
    #  * * *  #
   #  * * * *  #
  #  *$*   *$*  #
 #  * *  #  * *  #
#  * *       * *  #
# *.*  # # #  *.*@#
#  * *       * *  #
 #  * *  #  * *  #
  #  *$*   *$*  #
   #  * * * *  #
    #  * * *  #
     #  *.*  #
      #  *  #
       #   #
        ###
Title: AC_Diamonds_21

          ###
         # . #
        #  *  #
       #  * *  #
      #  * * *  #
     #  * * * *  #
    #  * * * * *  #
   #  * * * * * *  #
  #  * * * * * * *  #
 #  * * * * * * * *  #
#  * * * * * * * * *  #
# * * * * *$* * * * *@#
#  * * * * * * * * *  #
 #  * * * * * * * *  #
  #  * * * * * * *  #
   #  * * * * * *  #
    #  * * * * *  #
     #  * * * *  #
      #  * * *  #
       #  * *  #
        #  *  #
         #   #
          ###
Title: AC_Diamonds_22

