Title: Albe
 # #  #### # # # #
 # #       # ### #
 # # ###   #   # ##
 #    ## ### #    #
 # #  ##$+   # ## #
 #   ### ##     # #
 #####   #  ###   #
     # # # ##   ###
     #   #    ###
     ##########
Title: Level 22

       #####
       #   ##
       # .  #
  ####### # #
###   # #   #
#   # ###$###
#  $. $   # ####
## .### # ###  #
 #### #$+ $  . #
    ### ### #$ #
    #   # #   .#
    #.$ # ######
    #   #
    #####
Title: Level 23

      ####    ####
      #  #    #  #
#######  ######  ##
#   #       #     #
# # # # # # # # # #
#@$**************.#
# # # # # # # # #$#
#   #   #       #.#
###   #####  ######
  #####   #  #
          ####
Title: Level 24

##################
#        #   ##  #
# $ $ $ $ . . . .##
#  # # # # # # #  #
# $#$ $ $#.#.#. . #
#  # # # ##  ### ##
# $ $ $ $ . ##. . #
#  # # # # . ###  #
##$#$ $ $#.#.#+ . #
#  # # # ### ###  #
# $ $ $ $ . .#. . #
#  # # # ### # # ##
# $#$ $ $#.#.# . .#
#  # # # # # ## # #
# $ $ $ $ . .  . .#
#        #   ##  ##
##################
Title: Level 25

    #####
    #   #
    #   ##
  ###$$$ #
### . . .####
#  $ .@. $  #
#  $. # .$  #
#  $ . . $  #
####. . . ###
   # $$$###
   ##   #
    #   #
    #####
Title: Level 26

     #####
    ##   #
    #    ##
    #$$$$ #
  ###. . .####
### .$.@.$.$ ##
#  $ .###. $  #
#  $. # # .$  #
#  $ .###. $  #
## $.$. .$. ###
 ####. . .###
    # $$$$#
    ##    #
     #   ##
     #####
Title: Level 27

       ####
       #..###
       #.   #
       #... ##
     ### #...#
    ##     ..#
#####   $ #  #
# $ $ $$ #####
#  $    ##
## $  $##
 # @$$ #
 ##   $#
  ##   #
   #####
Title: Level 28

#####         #####
#   ##       ##   #
# $  ##     ##  $ #
##$ $ ##   ## $ $##
 #.$ $ ## ## $ $.#
##..$ $ ### $ $..##
#..#.$ $ # $ $.#..#
# ..#.$ $ $ $.#.. #
# ####.$ @ $.#### #
#    .#.$$$.#.    #
#. #  ##. .##  # .#
#### # ## ## # ####
   #     $     #
   #. #$$ $$# .#
   ####.   .####
      #######
Title: Level 29

    #####
    #   ####
    # $.  .#
    ##  ## #
#### #$ ## #
#  ###.##  ##
# $ $.@.$ $ #
#  ###.###  #
##.# #$# #  #
 # ### #### #
 #    $    .#
 ###   ######
   ##  #
    #  #
    ####
Title: Level 30

######### #########
#...    # #    ...#
#...# $ ### $ #...#
#..  $$$ # $$$  ..#
#..   $  $  $ # ..#
### #   $$$   #  ##
##   ### $ ####  #
#  $  ## @ #  ####
# $$$ ######
## $  #
 #   ##
 #####
Title: Level 31

     ####
     #  #####
    ##      #
    # $ $ $ #
  ###  $ $###
 ##   # $ #
 # $ ##$ $#
 #  $ $   ##
## $ $   $ #
#   $ $ $@ ####
#  $ ###   ...#
#   ## ##  .#.#
#####   # #.#.#
        # #...#
        #... .#
        #. ...#
        #######
Title: Level 32

    #####
    #   #
    #$.$#
   ## . ##
#### $.$ ####
# $ $ . $ $ #
# ....@.... #
# $ $ . $ $ #
#### $.$ ####
   ## . ##
    #$.$#
    #   #
    #####
Title: Level 33

      #####
    ###   ##
    #   $  ####
    #  $ $   .#
  ### $$$$$ # #
 ##  #.....#  ##
##  $.##.##.$  ##
#  $$.#.. #.$$  #
# $ $...@...$ $ #
#  $$.##..#.$$  #
##  $.##.##.$  ##
 ##  #.....#  ##
  # # $$$$$ ###
  #.   $ $  #
  ####  $   #
     ##   ###
      #####
Title: Level 34

          ######
##### #####. ..##
#   # #       $ #
# #$### #$###$# #
#    $ $  # #@  #
##.. .# # # #####
 ######   #
      # #$#
      #   ######
##### #$# #. ..##
#   # #  $   $  #
# # ### # ### # #
#  $   $  # #   #
##.. .##### #####
 ######
Title: Level 35

     ####
    ##  #
   ## *.#
  ##   .#
 ## $$#$##
 #   .   ##
 # $*###  #######
## .$  $ $  $   #
# ..*..*@*..*.. #
#   $  $ $  $. ##
#######   ##*$ #
      ##   .   #
       ##$#$$ ##
        #.   ##
        #.* ##
        #  ##
        ####
Title: Level 36

   ###########
####      #  #
#  $ $ $ $   #
# # $ $ $ #  #
# #$     $#$##
# # $ $ $ # #
# ## $ $ ## #
# ### $ ### #
# # ##@## # #
# # #   # # #
# ### . # # #
# ## ...### ###
# ##..... #   #
# ....#....$  #
###############
Title: Level 37

     #####
     #...#
    ##...##
    #... .#
    #. . .#
    #.....#
    ### ###
  ###     ###
 ##   #@#   ##
 # $ $   $ $ #
##$ # $ $ # $##
#  $ $#$#$ $  #
#   # $ $ #   #
###  $ $ $  ###
  ##   #   ##
   #########
Title: Level 38

 #####    #######
##.#.######   ..#
#..#...$    ....#
#.*...##$ ###..##
# *.## $ $####. ##
#  ## $   $ ###$.#
#  # $ $ $ $ ##. #
##  $ $ $ $ $   .#
 #   $ $ $ $  # .#
 #### $ $ $ ######
    #  $@$  #
    ##  #  ##
     #######
Title: Level 39

############
#          #
# ###### $ ##
# #  ## $ $ ##
# # ## $ $ $ ##
# ### $ $ $ $ ##
# ## $ $ $ $ $ #
# ##  $ $ $ $  #
# ###  $ @ $  ##
# ####  $ $  ####
# #.###  $  ###.#
# #...##$  ##...#
# #....# ###....#
# #..      *....#
#   $.*.. $ *.*.#
#################
Title: Level 40

#########
#...... #
#.#.... #
#..#.. ###
#...#. #.###
#....# $$#.###
#..    $ $ #.#
#  ##$$  $$# ###
####.$   $ $ $ #
   ###$$$# $ $ #
    #. $   $$  #
    ### $$$  $ #
     #.   $  $ #
     ###$$ $$$ #
       #      @#
       #########
Title: Level 41

     #############
######.. #.. #.  #
#.     .   .  .  #
#$ ###  .#  .#.  #
#  ############# #
#  ##  ########  #
#     $      $  ##
#  ### ####### ###
#  ##  $ $   $   #
#  ## @$   $ $   #
#  ##  $ $ $   ###
#  ###  ########
#### ####
Title: Level 42

    #######
    #     #    ####
    #$$$@$#  ###  #
    #   $ #  #..  #
    # # # #  #..  #
    #  $  # #### ##
    #$$ $$# #..  ##
    # # # ###.. . #
    #      #### # #
    #$   $.#..  $.#
    # $$$ ##.. $ ##
  ###     #### ###
 ##.#$# #$#..#   #
##  # $   #..# # #
#.   $ $$$     $.#
#  .#.   .#  #  ##
#################
Title: Level 43

#####         #####
#.. # ####### # ..#
#  .###  #  ###.  #
# .###  $$$  ###. #
##.### $   $ ###..#
#..#  $ $## $  #.##
#.   $ $   $   #..#
# .#$ $ $ $#$#$# .#
#     $ $@$ $     #
#. #$#$#$ $ $ $#. #
#..#   $   $ $   .#
##.#  $ ##$ $  #..#
#..### $   $ ###.##
# .###  $$$  ###. #
#  .###  #  ###.  #
#.. # ####### # ..#
#####         #####
Title: Level 44

          ########
         ##  #...#
       ### $ #...#
     ###   $ ##..#
   ###  $ $$ #...#
 ###  $ $# $ #...#
##  $ $ $  $ #..##
# $ $ $ $$ $ #. .#
#@$   $    $ ....#
# $ $ $ $$ $ #.  #
##  $ $ $  $ #..##
 ###  $ $  $ #...#
   ###  $ $$ #...#
     ###   $ ##..#
       ### $ #...#
         ##  #...#
          ########
Title: Level 45

 #########
##   #   ##
# ******+ #
# *  $  * #
# *  *  * #
##.$*.*$*##
# *  *  * #
# *  $  * #
# ***.*** #
##   #   ##
 #########
Title: Level 46

 ############
 #@#    ....#
 # $$$$#.. .#
 # $  $ ....#
 # $  $ # ..#
 # $  $$$ #.#
###$$ # $$# #
#.# $$$  $  #
#.. # $  $ ##
#.... $  $ #
#. ..#$$$$ #
#....    # #
############
Title: Level 47

#####
#   #####
# # .   #
# $$*$$ #
#...@...#
# $$*$$ #
##  . # #
 ####   #
    #####
Title: Level 48

           ####
       ##### .#
       #   #$ #
   ##### $ .  #
   #   ##  #  #
   # # $ .#####
   # $ *$ ##
   # ..@.. #
   ## $* $ #
#####. $ # #
#  #  ##   #
#  . $ #####
# $#   #
#. #####
####
Title: Level 49

   ####
 ###  ##
##     ##
#.  $  .#
##$ * $##
 # $*$ #
 ##...##
  ##.##
   #.#
  ##.##
###...###
#  $*$  #
# $ * $ #
#   $   #
##  $@ ##
 ##  ###
  ####
Title: Level 50

     #####
     #   #
     # # #
    ## $ ##
   ## $.$ ##
#### $.*.$ ####
#   $.#.#.$   #
# #$.*.#.*.$# #
#   $.#.#.$   #
#### $.*.$ ####
   ## $.$ ##
    ## $ ##
     # # #
     # @ #
     #####
Title: Level 51

 ####
 #  ######
 #   $.$ ##
 #  $. .$ ##
 #   # ##  #
###$##.  $ ##
# $.## ##.$ #
# . .# #. .@#
# $.## ##.$##
## $   ##$ #
 #  ##.#  ##
 ## $. .$  #
  ## $.$   #
   ######  #
        ####
Title: Level 52

    #############
    #   #   #   #
##### # # # # # #
#   #   #   #   #
# #.# #.# #.# #.###
#@$*$*$*$*$*$*$*$.#
### #.# #.# #.# # #
  #   #   #   #   #
  # # # # # # # # #
  #   #   #       #
  #################
Title: Level 53

###################
#   #             #
# # # #$# #$# #$# #
#   #   #   #   # #
# # # #.# #.# #.# #
#@$**************.#
### # #.# #.# #.# #
  #   #   #   #   #
  # #$# #$# #$# # #
  #               #
  #################
Title: Level 54

####
#  ###########
#      $     #
#  .******** #
#  *       * #
#  * .**** * #
## * * $ * * #
 # * * @ * * #
 # * * $ * * ##
 # * ****. *  #
 # *       *  #
 # ********.  #
 #     $      #
 ###########  #
           ####
Title: Level 55

###############
#             #
# *****#***** #
# *   * *   * #
# *  $* *$  * #
# *   * *   * #
# ****. .**** #
#     #@#     #
#### **.** ####
   # *   * #
   # *   * #
   # * $ * #
   # ***** #
   #       #
   #########
Title: Level 56

#####       #####
#   #       #   #
# $ ######### $ #
# $           $ #
# $ $ $   $ $ $ #
# ************. #
# .$         $. #
# *.*********.* #
# *.$       $.* #
# **.*******.** #
# **.$     $.** #
# ***.*****.*** #
# ***.     **** #
# *****.*.***** #
# ******@****** #
#################
Title: Level 57

     #########
  ####       ######
###           #...#
#   # $$$$$$$ #...#
#...# $     $ #...#
#...#  $$$$$  #...#
#...## $   $ ##...#
#...##$ $$$ $##...#
#  ## $  @  $ ##  #
#  #  $$$$$$$  #  #
#  #           #  #
#  ########### #  #
#                ##
##   ###   ####   #
 ##### #####  #   #
              #####
Title: Level 58

     #####
   ###   #
 ###  .# #
##   #   #
#  # $$# #
# . .$.  #
##$#######
 #. $  .@#
 # # #$# #
 #  .$ # #
 ### $.  #
   #######
Title: Level 59

#########
#   #   #
#   #   #
#@$ # $ #
# $ # $ #
# $ # $ #
# *.#.* #
# * . * #
# *.#.* #
# $ # $ #
# *.#.* #
# * . * #
# *.#.* #
# $   $ #
# ***** #
#       #
#########
Title: Level 60

 #######
##     #
# $+$. #
#.$##$.#
# .$.$ #
#      #
########
Title: Level 61

 #####
 #   #
## # ##
#. $ .#
# # # #
# $.$ #
#@# # #
# $.$ #
# # # #
#. $ .#
## # ##
 #   #
 #####
Title: Level 62

##### #####
#   ###   #
#  * # *  #
#.$# @ #$.#
#  .$ $.  #
###########
Title: Level 63

 ##########
 # .    . #
 # ##.$ # #
##  $ #$  #
# # #@# # #
#  $# $  ##
# # $.## #
# .    . #
##########
Title: Level 64

  ######
 ##.   ##
## $ #  #
#  #.#$.#
#  $@$  #
#.$#.#  #
#  # $ ##
##   .##
 ######
Title: Level 65

    #####
    #   #
#####$# ##
#   $.$  ##
# # .  #  #
# #.#@#.# #
#  #  . # #
##  $.$   #
 ## #$#####
  #   #
  #####
Title: Level 66

##########
#        #
# ... .$.##
##$$$# #  #
 # # #$.$ #
 #  @#   ##
 #########
Title: Level 67

##########
#     #  ##
# # #  $  #
# ...$#.# #
##$#$..$  #
 # $ ##   #
 # @ ######
 #####
Title: Level 68

    #####
 ####   ##
 #   $#  #
 # #  .$ #
 #   ### #
## # .$. #
# .$.@# ##
# ###   #
# $.  ###
#  #$ #
##   ##
 #####
Title: Level 69

    #####
   ##   #
   # $# ##
   #  .$ #
 ### ### #
 #  .# . #
## $ @$ ##
# . #.  #
# ### ###
# $.  #
## #$ #
 #   ##
 #####
Title: Level 70

#####   #####
#   #####   #
# # $ #   # #
# #$# # # # #
#. . .#. . .#
# # #  $#$# #
# $ # # # $ #
###   @   ###
  #########
Title: Level 71

        #####
        #   #
    ##### # #
    # $ .$  #
  ###.# # ###
  # . $  .#
### # #.# #
# $ . $   #
# #$##  ###
#@  #####
#####
Title: Level 72

  #####
  #   #
###$  ####
# $   .  #
#   # ## ##
## * ..$* #
 ## ## #  #
  #  .$ # #
  ####   @#
     ######
Title: Level 73

 #######
##  .  #
#  # # #
# #. * #
#.  $$###
# #*$.@ #
#   #$# #
## #    #
 #   ####
 #####
Title: Level 74

 ####
##  ##  ####
# $  ####  ##
# #$  #  .  #
#   $.# # # #
##  #.$   $ #
 ##  .$.#. ##
  ## @#    #
   #########
Title: Level 75

     #####
     #   #
###### # #
#  .  $ .#
# # ##$# #
#   $ .# #
### #  # ###
  # #. $   #
  # #$## # #
  #. $  .@ #
  # # ######
  #   #
  #####
Title: Level 76

#########
#   #   #
#.#$#$#.#
# $ + $ #
# # # # #
#  $.$  #
#.# # #.#
#   #   #
#########
Title: Level 77

  #######
  # $ . #
### #$# ##
#  $  .  #
# #.## # #
# .@$ .  #
## #$# ###
 # # $.#
 #   ###
 #####
Title: Level 78

     #####
     #   #
     # # ##
     # $. #
     ##.# #
      #   #
####### ####
#  @ ## $. #
# #$$.  *# #
# .$ # #   #
## # #   ###
 #   #####
 #####
Title: Level 79

   #####
   #   #   ####
 ### # #####  #
 # . $.   $.  #
 # # ##### #$ #
 # # #   # # ##
 # # #   # # #
## # #   # # #
# $# ##### # #
#  .$@  .$   #
#  ##### #.###
####   #   #
       #####
Title: Level 80

